director,movie_count,median_revenue_usd,median_roi,profitability_rate
Chris McKay,3,26493921.0,-0.5924012153846154,0.3333333333333333
Doug Liman,6,26157542.5,0.5,0.6666666666666666
Derek Cianfrance,3,25975621.0,2.1423977333333335,1.0
Michael Tiddes,3,25343661.0,5.33591525,1.0
Roman Polanski,4,24810923.0,0.22890528,0.5
Mark Waters,3,24100000.0,-0.073076923076923,0.3333333333333333
Taika Waititi,7,23900000.0,3.34458835,0.8571428571428571
Éric Toledano,3,23800000.0,0.3837209302325581,0.6666666666666666
Mike Newell,3,23148937.0,0.68182838,0.3333333333333333
Pedro Almodóvar,7,22468044.0,1.3448238,1.0
Osgood Perkins,3,22304357.0,7.6285325,0.6666666666666666
Paolo Genovese,3,22043584.0,,0.0
Yuen Woo-ping,3,21832649.0,0.13697597499999997,0.3333333333333333
Martin Bourboulon,3,21730766.0,-0.4428008717948718,0.3333333333333333
Thomas Vinterberg,3,21700000.0,3.2135922330097086,1.0
Roger Kumble,4,21543373.0,0.0353345714285714,0.5
Philippe Lacheau,5,20258904.0,3.925206963118188,0.4
Sofia Coppola,5,19145732.0,0.677812775,0.8
Gavin O'Connor,4,18945257.0,-0.21681491304347825,0.25
Gavin Hood,3,18704595.0,0.2900310954545455,0.6666666666666666
Hirokazu Kore-eda,3,18632208.0,1.3887446153846157,0.3333333333333333
Jason Reitman,6,17956137.0,0.126434,0.5
Park Chan-wook,3,16914773.0,1.7539555713070942,0.6666666666666666
Yorgos Lanthimos,5,16398509.0,2.566666666666667,1.0
Mark Williams,3,15902207.0,-0.6301812325581395,0.0
Damien Leone,3,15815602.0,44.1610515,1.0
J.C. Chandor,4,15755554.5,-0.36044991666666665,0.25
Tom McCarthy,4,15204328.5,-0.01430427359747645,0.25
Nikolaj Arcel,3,14800000.0,0.85,0.6666666666666666
Asghar Farhadi,4,14314548.5,0.590092442149662,0.5
John R. Leonetti,3,14300000.0,19.410445025641028,0.6666666666666666
Pierre Morel,5,13644292.0,-0.32175404230769233,0.4
Todd Haynes,3,13601384.0,-0.3199308,0.3333333333333333
Rodrigo Cortés,3,13551174.0,4.301840849407592,0.3333333333333333
Nicolas Bedos,3,13457801.0,-0.3403038725490196,0.3333333333333333
Jacques Audiard,5,13143056.0,-0.3724184615384615,0.2
Maïwenn,3,13000000.0,-0.3323058153638814,0.0
Chris Weitz,3,12977758.0,-0.27054675,0.3333333333333333
Choi Dong-hoon,3,12109608.0,-0.5057302857142857,0.0
Cédric Jimenez,3,12062441.0,-0.5360599615384616,0.3333333333333333
Luca Guadagnino,7,12014663.0,0.33229568920454544,0.42857142857142855
Catherine Hardwicke,4,11700000.0,0.0133333333333333,0.5
David Lowery,5,11277120.0,0.2591968666666667,0.6
Ken Loach,4,11017130.5,,0.0
Alessandro Genovesi,3,10703234.0,0.36999090909090904,0.6666666666666666
Castille Landon,5,10644463.0,0.3741480714285714,0.4
Michel Gondry,3,10435322.0,0.2745135045473087,0.3333333333333333
Paolo Sorrentino,5,10361110.0,-0.6762153125,0.2
Greg McLean,4,10267469.5,1.3585884,0.75
Ti West,5,9847490.0,5.026603000000001,0.8
Hans Petter Moland,3,9700000.0,0.2736625833333333,0.6666666666666666
Akiva Schaffer,3,9680029.0,-0.51599855,0.3333333333333333
Lars von Trier,4,9556304.0,1.1273956109833239,0.75
Felix van Groeningen,3,9494985.0,0.2699962,0.3333333333333333
Ruben Östlund,3,9494535.0,0.5854853846153846,0.3333333333333333
John Curran,3,9479718.0,-0.5212547754010695,0.0
Richard Linklater,5,9206470.0,0.841294,0.6
Justin Kurzel,4,9146256.0,-0.11858435,0.5
Jeff Nichols,5,8996802.0,-0.0972285,0.2
Jaume Balagueró,3,8791590.0,0.6385856666666667,0.6666666666666666
Michael Showalter,4,8531787.5,11.9600836,0.5
Steven Knight,3,8352885.0,-0.42,0.3333333333333333
Ferzan Özpetek,3,8277796.0,0.6218827142857143,0.6666666666666666
Jim Jarmusch,3,8213623.0,0.1733747142857143,0.6666666666666666
Pablo Larraín,4,8150810.0,0.4768820833333333,0.5
Michael Dowse,4,7742579.0,-0.3225881136363636,0.25
Baran bo Odar,3,7700259.0,0.0846891333333333,0.3333333333333333
James Gray,4,7549612.5,-0.5991386125,0.25
Kevin Macdonald,3,7527030.0,-0.2031348875,0.3333333333333333
William Eubank,3,7021101.0,-0.3336695,0.0
James Ponsoldt,3,6854611.0,1.5001406444444445,0.6666666666666666
Nicolas Winding Refn,4,6850000.0,0.3157738095238095,0.5
Gabriela Cowperthwaite,3,6605079.0,-0.5213710869565218,0.0
François Ozon,8,6576977.5,-0.32032626002238024,0.125
André Øvredal,5,6170043.0,0.3654950892857143,0.6
Mike Mills,3,5664764.0,-0.190748,0.3333333333333333
Zach Braff,3,5483299.0,1.1908525472727274,0.3333333333333333
David Cronenberg,4,5307560.5,-0.7017750569105692,0.25
Matteo Garrone,4,5290212.0,-0.0799570336021505,0.25
Gilles Paquet-Brenner,3,5090852.0,0.002866599999999997,0.3333333333333333
Marielle Heller,4,5031973.0,-0.261499,0.25
Jan Komasa,3,4878284.0,4.566821593406593,0.6666666666666666
Noah Baumbach,6,4422271.5,-0.8638487044444444,0.16666666666666666
Peter Landesman,3,4372130.0,-0.20939095,0.3333333333333333
Andrew Haigh,3,4250507.0,2.5056293333333333,0.6666666666666666
Scott Mann,3,4100000.0,-0.5393258426966292,0.3333333333333333
Paul Schrader,3,3988612.0,-0.2465387735191638,0.3333333333333333
Andrea Di Stefano,3,3758328.0,-0.7789218823529411,0.0
Ben Wheatley,5,3719383.0,-0.09945,0.2
Sam Liu,4,3622075.5,0.0785714285714285,0.5
Sean Durkin,3,3500000.0,2.0119569811320757,0.6666666666666666
Gus Van Sant,4,3350000.0,-0.57375,0.25
Xavier Dolan,5,3326364.0,-0.5756239581903214,0.2
Terrence Malick,5,2801166.0,-0.4838733333333333,0.2
Franck Khalfoun,3,2631275.0,-0.5614541666666667,0.0
Tom Vaughan,3,2500000.0,-0.6725651666666667,0.0
Brad Anderson,5,2478806.0,1.7209589538461538,0.2
Rob Reiner,4,2253616.0,-0.6910845,0.25
Sean Baker,5,2200000.0,6.45076,0.8
Brian Taylor,3,2014050.0,0.21319274122807014,0.3333333333333333
Ali Abbasi,3,2000000.0,0.0794758125,0.3333333333333333
Atom Egoyan,3,1986615.0,-0.4087572901785714,0.0
Neil Jordan,3,1790061.0,-0.85082825,0.0
Fernando León de Aranoa,3,1702433.0,2.7574313135953483,0.3333333333333333
Quentin Dupieux,7,1686700.0,-0.693402693877551,0.0
Joachim Trier,3,1500000.0,0.4003296473684211,0.3333333333333333
Kevin Smith,4,1493378.0,-0.54823575,0.25
Céline Sciamma,3,1424716.0,0.424716,0.6666666666666666
Olivier Assayas,3,1400000.0,-0.7824675,0.0
Rob Zombie,3,1165882.0,-0.234725,0.0
Steven C. Miller,5,1052998.0,-0.8922664,0.0
Cate Shortland,3,970000.0,0.07062782750000002,0.3333333333333333
David Bruckner,4,943370.5,-0.14943799483471074,0.5
Brandon Cronenberg,3,911000.0,-0.6356,0.3333333333333333
Gaspar Noé,3,754249.0,-0.9169723333333332,0.0
Xavier Gens,3,737478.0,-0.9364355550763248,0.0
Darren Lynn Bousman,4,639896.0,0.05470027272727268,0.25
Craig Zobel,3,592116.0,0.5394032182539683,0.3333333333333333
S. Craig Zahler,3,475846.0,-0.9559912,0.0
Aaron Sorkin,3,450000.0,-0.010398469047619041,0.3333333333333333
Ryuhei Kitamura,3,307873.0,0.07482165845648603,0.3333333333333333
David Mackenzie,3,138868.0,2.1333333333333333,0.3333333333333333
Jim Mickle,3,81381.0,-0.9488538461538462,0.0
Bruno Ferreira,3,1000.0,4.0,1.0
