tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,director_id,director_ids
87436,The ABCs of Death,2013-03-08,129.0,en,,23589.0,4.0156,4.945,640,Horror,NZ; US,Drafthouse Films; Timpson Films; Magnet Pictures,10485; 19324; 225650,207632.0,The ABCs of Death Collection,Hélène Cattet,Ingrid Bolsø Berdal; Erik Audé; Iván González; Kyra Zagorsky; Peter Pedrero; Dallas Malloy; Lee Hardcastle; Lucy Clements; Darenzia; Arisa Nakamura,87879; 164914; 1020716; 1261375; 38887; 1102403; 935179; 1102404; 1102405; 1015990,2013,,129937.0,129937; 557880; 32799; 147695; 81251; 129938; 81328; 141673; 206169; 105574; 118303; 101542; 118369; 107941; 64108; 112280; 574660; 18184; 935179; 76171; 133403; 98631; 96323; 137467; 235430; 138557; 82566
87499,The East,2013-05-31,116.0,en,6500000.0,2401510.0,4.4487,6.552,887,Drama; Thriller,US; GB,TSG Entertainment; Scott Free Productions,22213; 221347,,,Zal Batmanglij,Brit Marling; Alexander Skarsgård; Elliot Page; Toby Kebbell; Shiloh Fernandez; Aldis Hodge; Danielle Macdonald; Hillary Baack; Patricia Clarkson; Jason Ritter,222330; 28846; 27578; 20286; 79795; 83860; 1203789; 207467; 1276; 50095,2013,0.0,933739.0,933739
87516,Oldboy,2013-11-14,104.0,en,30000000.0,5200000.0,8.7258,5.925,2183,Thriller; Mystery,US,40 Acres and a Mule Filmworks; Vertigo Entertainment; Good Universe; FilmDistrict,4319; 829; 17393; 7263,,,Spike Lee,Josh Brolin; Elizabeth Olsen; Sharlto Copley; Samuel L. Jackson; Michael Imperioli; Pom Klementieff; James Ransone; Max Casella; Linda Emond; Elvis Nolasco,16851; 550843; 82191; 2231; 11486; 139820; 5296; 7133; 58643; 1333665,2013,0.0,5281.0,5281
87825,Trouble with the Curve,2012-09-21,111.0,en,60000000.0,49000000.0,5.5162,6.982,1732,Drama; Romance,US,Malpaso Productions; Warner Bros. Pictures,171; 174,,,Robert Lorenz,Clint Eastwood; Amy Adams; Justin Timberlake; Matthew Lillard; Jack Gilpin; John Goodman; Robert Patrick; Scott Eastwood; Ed Lauter; Chelcie Ross,190; 9273; 12111; 26457; 77023; 1230; 418; 928572; 21523; 10486,2012,0.0,4746.0,4746
88005,Seeking a Friend for the End of the World,2012-06-22,101.0,en,10000000.0,9636289.0,5.6134,6.565,2302,Comedy; Drama; Romance,US,Indian Paintbrush; Mandate Pictures; Anonymous Content,9350; 771; 10039,,,Lorene Scafaria,Steve Carell; Keira Knightley; Connie Britton; Rob Corddry; Adam Brody; Derek Luke; Martin Sheen; Melanie Lynskey; Nancy Carell; William L. Petersen,4495; 116; 86310; 52997; 11702; 15543; 8349; 15091; 1230173; 52267,2012,0.0,71551.0,71551
88042,Parental Guidance,2012-12-25,104.0,en,25000000.0,119772232.0,3.5513,5.953,496,Comedy,US,Dune Entertainment III; Chernin Entertainment; Face Productions; Dune Entertainment; Walden Media,6332; 7076; 48638; 444; 10221,,,Andy Fickman,Billy Crystal; Bette Midler; Marisa Tomei; Tom Everett Scott; Bailee Madison; Joshua Rush; Kyle Breitkopf; Jennifer Crystal Foley; Rhoda Griffis; Gedde Watanabe,7904; 73931; 3141; 16857; 54479; 212184; 1144353; 532890; 51456; 16183,2012,1.0,58375.0,58375
88284,Barbara,2012-03-08,105.0,de,,6889185.0,2.361,7.14,368,Drama,DE,Schramm Film; ZDF; ARTE,138; 4606; 587,,,Christian Petzold,Nina Hoss; Ronald Zehrfeld; Rainer Bock; Christina Hecke; Claudia Geisler-Bading; Peter Weiss; Carolin Haupt; Deniz Petzold; Rosa Enskat; Jasna Fritzi Bauer,681; 49021; 65054; 1159524; 6087; 1987872; 1823712; 1001691; 17062; 559589,2012,,2332.0,2332
89008,The Oranges,2011-09-09,90.0,en,7000000.0,1941667.0,3.2286,5.517,523,Comedy; Romance; Drama,US,ATO Pictures; Likely Story; Olympus Pictures; FilmNation Entertainment; CAA,1962; 1785; 7400; 7493; 193861,,,Julian Farino,Leighton Meester; Hugh Laurie; Alia Shawkat; Allison Janney; Catherine Keener; Adam Brody; Oliver Platt; Ian Helfer; Marceline Hugot; Curtis McClarin,85825; 41419; 61178; 19; 2229; 11702; 17485; 1105485; 54124; 75607,2011,0.0,173667.0,173667
89691,ATM,2012-02-17,91.0,en,3000000.0,921752.0,2.3379,5.058,686,Horror; Thriller,US,The Safran Company; Gold Circle Films; Buffalo Gal Pictures,11565; 12026; 11517,,,David Brooks,Alice Eve; Josh Peck; Brian Geraghty; Mike O'Brien; Robert Huculak; Ernesto Griffith; Bryan Terrell Clark; Dan De Jaeger; Omar Alex Khan; Aaron Hughes,59860; 15760; 49271; 75815; 937741; 64478; 1765966; 1747070; 1710812; 75813,2012,0.0,524700.0,524700
89708,Samsara,2011-09-16,102.0,en,4000000.0,2639616.0,3.844,8.1,704,Documentary,BR; CN; DK; EG; ET; GH; ID; IT; JP; JO; NA; SA; KR; TH; AE; US,Magidson Films,10986,,,Ron Fricke,Ni Made Megahadi Pratiwi; Puti Sri Candra Dewi; Putu Dinda Pratika; Marcos Luna; Hiroshi Ishiguro; Olivier De Sagazan; Ladyboys of Cascade Bar; Kikumaru; Crisanto Neire; Robert Henline,1163026; 1163025; 1163024; 1163023; 1932879; 2143508; 2504890; 2504891; 2504892; 2455551,2011,0.0,68994.0,68994
