tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,director_id,director_ids
76203,12 Years a Slave,2013-10-18,134.0,en,20000000.0,187000000.0,15.986,7.928,12189,Drama; History,GB; US,New Regency Pictures; Plan B Entertainment; River Road Entertainment; Regency Enterprises; Film4 Productions,10104; 81; 1246; 508; 6705,,,Steve McQueen,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o; Benedict Cumberbatch; Paul Dano; Sarah Paulson; Adepero Oduye; Scoot McNairy; Paul Giamatti; Brad Pitt,5294; 17288; 1267329; 71580; 17142; 34490; 467633; 59233; 13242; 287,2013,1.0,72757.0,72757
76285,Percy Jackson: Sea of Monsters,2013-08-07,106.0,en,90000000.0,199850315.0,7.5387,6.031,5444,Adventure; Family; Fantasy,US,Fox 2000 Pictures; Sunswept Entertainment; 1492 Pictures; TSG Entertainment,711; 5219; 436; 22213,179919.0,Percy Jackson Collection,Thor Freudenthal,Logan Lerman; Brandon T. Jackson; Alexandra Daddario; Douglas Smith; Leven Rambin; Jake Abel; Katelyn Mager; Grey Damon; Paloma Kwiatkowski; Anthony Stewart Head,33235; 53336; 109513; 60077; 207401; 105727; 116416; 130769; 1257753; 34257,2013,1.0,109857.0,109857
76338,Thor: The Dark World,2013-10-30,112.0,en,170000000.0,644783140.0,22.3466,6.509,18671,Action; Adventure; Fantasy,US,Marvel Studios,420,131296.0,Thor Collection,Alan Taylor,Chris Hemsworth; Natalie Portman; Tom Hiddleston; Christopher Eccleston; Anthony Hopkins; Jaimie Alexander; Zachary Levi; Ray Stevenson; Tadanobu Asano; Idris Elba,74568; 524; 91606; 2040; 4173; 59817; 69899; 56614; 13275; 17605,2013,1.0,47005.0,47005
76341,Mad Max: Fury Road,2015-05-13,121.0,en,150000000.0,378858340.0,42.7904,7.637,24535,Action; Adventure; Science Fiction,AU; US,Warner Bros. Pictures; Village Roadshow Pictures; Kennedy Miller Mitchell; RatPac Entertainment,174; 79; 28382; 41624,8945.0,Mad Max Collection,George Miller,Tom Hardy; Charlize Theron; Nicholas Hoult; Hugh Keays-Byrne; Josh Helman; Nathan Jones; Zoë Kravitz; Rosie Huntington-Whiteley; Riley Keough; Abbey Lee,2524; 6885; 3292; 26060; 1056053; 24898; 37153; 236048; 98522; 1036288,2015,1.0,20629.0,20629
76489,The Three Stooges,2012-04-13,92.0,en,30000000.0,54819301.0,6.4625,5.821,669,Comedy,US,"Wessler Entertainment; 20th Century Fox; Conundrum Entertainment; C3 Entertainment, Inc.; Dune Entertainment",8890; 25; 1156; 91002; 444,,,Peter Farrelly,Sean Hayes; Will Sasso; Chris Diamantopoulos; Jane Lynch; Sofía Vergara; Jennifer Hudson; Craig Bierko; Stephen Collins; Larry David; Kirby Heyborne,52601; 39125; 1217648; 43775; 63522; 15565; 14886; 1756; 16376; 63494,2012,1.0,7396.0,7396; 7395
76492,Hotel Transylvania,2012-09-20,91.0,en,85000000.0,358375603.0,22.521,6.969,9334,Animation; Comedy; Family; Fantasy,US,Columbia Pictures; Sony Pictures Animation,5; 2251,185103.0,Hotel Transylvania Collection,Genndy Tartakovsky,Selena Gomez; Adam Sandler; Andy Samberg; Kevin James; Fran Drescher; Steve Buscemi; Molly Shannon; David Spade; Cee Lo Green; Jon Lovitz,77948; 19292; 62861; 32895; 53122; 884; 28640; 60950; 458843; 16165,2012,1.0,185438.0,185438
76493,The Dictator,2012-05-15,83.0,en,65000000.0,179379533.0,14.2808,6.244,6592,Comedy,US,Paramount Pictures; Berg Mandel Schaffer Productions; Scott Rudin Productions; Four by Two Films,4; 215285; 258; 34620,,,Larry Charles,Sacha Baron Cohen; Ben Kingsley; Anna Faris; Jason Mantzoukas; Sayed Badreya; Adeel Akhtar; Aasif Mandvi; Rizwan Manji; Rocky Citron; Liam Campora,6730; 2282; 1772; 111683; 173810; 81840; 20644; 1223718; 2823308; 1978679,2012,1.0,6767.0,6767
76494,What to Expect When You're Expecting,2012-05-17,110.0,en,40000000.0,79700000.0,6.3379,6.009,1876,Romance; Comedy; Drama,US,Lionsgate; Alcon Entertainment; Phoenix Pictures; What to Expect Productions,1632; 1088; 11317; 19577,,,Kirk Jones,Jennifer Lopez; Chace Crawford; Anna Kendrick; Cameron Diaz; Elizabeth Banks; Brooklyn Decker; Matthew Morrison; Rodrigo Santoro; Ben Falcone; Dennis Quaid,16866; 60899; 84223; 6941; 9281; 131520; 155209; 17289; 170820; 6065,2012,1.0,64045.0,64045
76617,Texas Chainsaw 3D,2013-01-03,92.0,en,20000000.0,47340586.0,5.9931,5.49,1854,Horror; Thriller,US,Lionsgate; Millennium Media; Mainline Pictures; Leatherface Productions,1632; 1020; 70969; 210480,111751.0,Texas Chainsaw Massacre Collection,John Luessenhop,Alexandra Daddario; Dan Yeager; Trey Songz; Tania Raymonde; Paul Rae; Thom Barry; Scott Eastwood; Shaun Sipos; Richard Riehle; Keram Malicki-Sánchez,109513; 1054724; 224231; 38666; 61260; 8175; 928572; 65772; 18262; 4134,2013,1.0,97026.0,97026
76649,Pompeii,2014-02-18,105.0,en,100000000.0,117831631.0,10.4318,5.546,3445,Action; Adventure; History; Romance; Drama,DE; GB; CA; US,Constantin Film; Impact Pictures; Don Carmody Productions; FilmDistrict; TriStar Pictures,47; 248; 4253; 7263; 559,,,Paul W. S. Anderson,Kit Harington; Emily Browning; Adewale Akinnuoye-Agbaje; Kiefer Sutherland; Carrie-Anne Moss; Jared Harris; Jessica Lucas; Sasha Roiz; Currie Graham; Joe Pingue,239019; 70456; 31164; 2628; 530; 15440; 51989; 6071; 156590; 86237,2014,1.0,4014.0,4014
76726,Chronicle,2012-02-01,84.0,en,15000000.0,145000000.0,13.2296,6.867,5909,Science Fiction; Drama; Thriller,US,Dune Entertainment; Davis Entertainment; Adam Schroeder Productions; 20th Century Fox,444; 1302; 43394; 25,,,Josh Trank,Dane DeHaan; Alex Russell; Michael B. Jordan; Michael Kelly; Ashley Hinshaw; Bo Petersen; Anna Wood; Rudi Malcolm; Luke Tyler; Crystal-Donna Roberts,122889; 558466; 135651; 50217; 589098; 1888327; 213044; 4387933; 934796; 231651,2012,1.0,934803.0,934803
76757,Jupiter Ascending,2015-02-04,127.0,en,176000000.0,184000000.0,13.0881,5.473,7227,Science Fiction; Fantasy; Action,US,Warner Bros. Pictures; Village Roadshow Pictures; RatPac Entertainment; Anarchos Productions,174; 79; 41624; 450,,,Lana Wachowski,Channing Tatum; Mila Kunis; Sean Bean; Eddie Redmayne; Douglas Booth; Tuppence Middleton; Nikki Amuka-Bird; Christina Cole; Edward Hogg; Maria Doyle Kennedy,38673; 18973; 48; 37632; 230680; 89822; 109319; 47625; 114252; 33394,2015,1.0,9340.0,9340; 9339
76758,The Flowers of War,2011-12-15,146.0,zh,94000000.0,95311434.0,4.4672,7.428,925,Drama; History; War,CN; HK,New Picture Company; Beijing New Picture Film Co. Ltd.; EDKO Film,49512; 724; 12205,,,Zhang Yimou,Christian Bale; Ni Ni; Zhang Xinyi; Huang Tianyuan; Han Xiting; Zhang Doudou; Tong Dawei; Cao Kefan; Atsuro Watabe; Yuan Yangchunzi,3894; 1006864; 3296267; 1671009; 2395210; 1391443; 1031246; 2339424; 46624; 2395211,2011,1.0,607.0,607
77016,End of Watch,2012-09-20,109.0,en,7000000.0,55078146.0,10.621,7.36,3750,Crime; Drama; Thriller,US,5150 Action; Exclusive Media; Hedge Fund Film Partners; Crave Films; Knightsbridge Entertainment; Le Grisbi Productions; Emmett/Furla Films,47354; 11448; 11449; 16312; 46961; 47169; 214742,,,David Ayer,Jake Gyllenhaal; Michael Peña; Natalie Martinez; Anna Kendrick; David Harbour; Frank Grillo; America Ferrera; Cody H. Carolin; Shondrella Avery; Hugh Daly,131; 454; 76511; 84223; 35029; 81685; 59174; 582816; 53928; 85414,2012,1.0,19769.0,19769
77174,ParaNorman,2012-08-03,93.0,en,60000000.0,107307220.0,9.8731,7.051,2853,Family; Animation; Adventure; Comedy,US,LAIKA,11537,,,Sam Fell,Kodi Smit-McPhee; Tucker Albrizzi; Anna Kendrick; Casey Affleck; Christopher Mintz-Plasse; Leslie Mann; Jeff Garlin; Elaine Stritch; Bernard Hill; Jodelle Ferland,113505; 558925; 84223; 1893; 54691; 41087; 60074; 36802; 1369; 8338,2012,1.0,58897.0,58897; 154705
77234,The Numbers Station,2013-04-18,90.0,en,10000000.0,3107646.0,5.559,5.501,604,Action; Thriller,GB; US; BE,ContentFilm; Piccadilly Pictures; Atlantic Swiss Productions; Blue Lake Media Fund; Furst Films; Matador Pictures; uFilm; Echo Lake Entertainment,1420; 22309; 22310; 22311; 3135; 707; 8676; 2147,,,Kasper Barfoed,John Cusack; Malin Akerman; Hannah Murray; Liam Cunningham; Lucy Griffiths; Bryan Dick; Richard Brake; Finbar Lynch; Joey Ansah; Victor Gardener,3036; 50463; 213395; 15498; 205257; 47703; 3901; 1250809; 29406; 1563380,2013,0.0,145867.0,145867
77338,The Intouchables,2011-11-02,113.0,fr,13000000.0,426590315.0,30.1804,8.272,18766,Drama; Comedy,FR,Gaumont; Quad Productions; Chaocorp; Ten Films; TF1 Films Production,9; 7038; 7766; 8018; 356,,,Éric Toledano,François Cluzet; Omar Sy; Anne Le Ny; Audrey Fleurot; Joséphine de Meaux; Clotilde Mollet; Alba Gaïa Bellugi; Cyril Mendy; Salimata Kamate; Absa Diatou Toure,33161; 78423; 19370; 219708; 84430; 2411; 26107; 581728; 1411815; 1411817,2011,1.0,84425.0,84425; 84426
77459,A Monster in Paris,2011-10-12,90.0,fr,25000000.0,26611650.0,4.6405,6.931,1398,Adventure; Animation; Family; Fantasy,FR; BE,EuropaCorp; Bibo Films; France 3 Cinéma; Walking The Dog; uFilm; uFund,6896; 8674; 591; 8675; 8676; 22127,,,Bibo Bergeron,Vanessa Paradis; Matthieu Chedid; Gad Elmaleh; François Cluzet; Ludivine Sagnier; Julie Ferrier; Bruno Salomone; Sébastien Desjours; Philippe Peythieu; Allan Wenger,65007; 66841; 51100; 33161; 4390; 54292; 77928; 1820910; 1091885; 1237651,2011,1.0,65629.0,65629
77495,Sleep Tight,2011-10-14,101.0,es,5000000.0,8791590.0,4.3975,7.064,1247,Thriller; Horror,ES,Cubica; Coser y Cantar; Castelao Pictures,26476; 108672; 62170,,,Jaume Balagueró,Luis Tosar; Marta Etura; Alberto San Juan; Petra Martínez; Iris Almeida Molina; Carlos Lasarte; Amparo Fernández; Roger Morilla; Pep Tosar; Margarita Roset,16867; 34019; 27462; 132999; 1116138; 54519; 1283850; 2124456; 935934; 2124457,2011,1.0,54525.0,54525
77617,Detective Conan: Quarter of Silence,2011-04-16,109.0,ja,,42808575.0,6.8451,7.07,158,Animation; Action; Crime; Mystery,JP,TMS Entertainment; TOHO; Shogakukan; Yomiuri Telecasting Corporation; Nippon Television Network Corporation; Shogakukan-Shueisha Productions,7164; 882; 9149; 11727; 6755; 12655,39199.0,Detective Conan Collection,Yasuichiro Yamamoto,Minami Takayama; Kappei Yamaguchi; Wakana Yamazaki; Rikiya Koyama; Megumi Hayashibara; Yukiko Iwai; Wataru Takagi; Ikue Otani; Kenichi Ogata; Naoko Matsui,68470; 68472; 87582; 237076; 40325; 1244457; 112278; 73044; 142704; 87585,2011,,101915.0,101915; 237072
77663,Killing Season,2013-07-12,91.0,en,,39881.0,6.3037,5.533,1050,Action; Thriller,BE; US; BG,Promised Land Productions; Nu Image; Corsan; Millennium Media; Corsan Productions,30815; 925; 7299; 1020; 2034,,,Mark Steven Johnson,Robert De Niro; John Travolta; Milo Ventimiglia; Liz Olin; Diana Lyubenova; Kalin Sarmenov; Stefan Shterev; Joseph Oliveira,380; 8891; 16501; 1189507; 1189508; 1189510; 1000984; 1360008,2013,,16837.0,16837
77805,Lovelace,2013-08-08,92.0,en,10000000.0,1585582.0,6.2362,6.018,791,Drama,US,Helios-Filmproduktion; Animus Films; Millennium Media,2123; 4135; 1020,,,Rob Epstein,Amanda Seyfried; Sharon Stone; Robert Patrick; Peter Sarsgaard; Hank Azaria; Juno Temple; Wes Bentley; Adam Brody; Bobby Cannavale; James Franco,71070; 4430; 418; 133; 5587; 36594; 8210; 11702; 21127; 17051,2013,0.0,109402.0,109402; 109403
77866,Contraband,2012-01-12,109.0,en,25000000.0,96262212.0,6.4035,6.344,2272,Thriller; Action; Drama; Crime,IS; US,Universal Pictures; Relativity Media; Working Title Films; Leverage Entertainment; Closest to the Hole Productions; Farraday Films; BlueEyes Productions,33; 7295; 10163; 8536; 8537; 8538; 10970,,,Baltasar Kormákur,Mark Wahlberg; Kate Beckinsale; Ben Foster; Giovanni Ribisi; Lukas Haas; Caleb Landry Jones; Diego Luna; J.K. Simmons; David O'Hara; William Lucking,13240; 3967; 11107; 1771; 526; 572541; 8688; 18999; 2482; 131725,2012,1.0,67813.0,67813
77877,The Lucky One,2012-04-19,101.0,en,25000000.0,99400000.0,17.4226,7.181,3871,Drama; Romance,US,Di Novi Pictures; Langley Park Production; Village Roadshow Pictures; Warner Bros. Pictures,813; 8057; 79; 174,,,Scott Hicks,Zac Efron; Taylor Schilling; Blythe Danner; Jay R. Ferguson; Riley Thomas Stewart; Joe Chrest; Jillian Batherson; Courtney James Clark; Sharon Conley; Russell Durham Comegys,29222; 221809; 10401; 80289; 211429; 141762; 550317; 568045; 142374; 582656,2012,1.0,33433.0,33433
77930,Magic Mike,2012-06-28,110.0,en,7000000.0,167200000.0,7.8952,6.159,3134,Drama; Comedy,US,Iron Horse Entertainment; Extension 765; FilmNation Entertainment; Warner Bros. Pictures,34981; 8850; 7493; 174,328247.0,Magic Mike Collection,Steven Soderbergh,Channing Tatum; Matthew McConaughey; Alex Pettyfer; Cody H. Carolin; Olivia Munn; Joe Manganiello; Matt Bomer; James Martin Kelly; Reid Carolin; Adam Rodriguez,38673; 10297; 61363; 582816; 81364; 20580; 66743; 162849; 1074867; 49706,2012,1.0,1884.0,1884
77931,The Smurfs 2,2013-07-30,105.0,en,105000000.0,347434178.0,9.7129,5.748,2409,Fantasy; Family; Comedy; Animation,US; CA; BE,NeoReel; Columbia Pictures; Sony Pictures Animation; Hemisphere Media Capital; The Kerner Entertainment Company,24097; 5; 2251; 9169; 7311,134897.0,The Smurfs (Theatrical) Collection,Raja Gosnell,Katy Perry; Hank Azaria; Neil Patrick Harris; Jayma Mays; Brendan Gleeson; Jacob Tremblay; Nancy O'Dell; Karim Babin; Gaston Morrison; Jocelyn Blanchard,111455; 5587; 41686; 34195; 2039; 1277188; 127130; 1298569; 1597842; 1303903,2013,1.0,1215.0,1215
77948,The Cold Light of Day,2012-04-04,93.0,en,20000000.0,16863583.0,5.3481,5.375,1007,Action; Thriller; Mystery,ES; US,"Film Rites; Galavis Film; Picture Machine; Intrepid Pictures; Fria Luz Del Dia, A.I.E.; Summit Entertainment; Calle Cruzada",8083; 8084; 8085; 1224; 23625; 491; 199001,,,Mabrouk El Mechri,Henry Cavill; Bruce Willis; Sigourney Weaver; Verónica Echegui; Joseph Mawle; Caroline Goodall; Rafi Gavron; Emma Hamilton; Michael Budd; Roschdy Zem,73968; 62; 10205; 114254; 119783; 6692; 21660; 395846; 582925; 20442,2012,0.0,74924.0,74924
77949,The Awakening,2011-08-17,107.0,en,4798235.0,6879667.0,6.3183,6.389,1542,Horror; Thriller; Mystery,GB; FR,BBC Film; Lipsync Productions; Creative Scotland; Origin Pictures; StudioCanal,288; 9987; 8087; 8088; 694,,,Nick Murphy,Rebecca Hall; Dominic West; Imelda Staunton; Isaac Hempstead Wright; Lucy Cohu; Cal MacAninch; John Shrapnel; Diana Kent; Richard Durden; Alfie Field,15556; 17287; 11356; 239020; 29235; 107380; 940; 15094; 120833; 582938,2011,1.0,582918.0,582918
77950,Turbo,2013-07-11,96.0,en,135000000.0,282570682.0,10.3854,6.28,3777,Animation; Family,US,DreamWorks Animation,521,,,David Soren,Ryan Reynolds; Paul Giamatti; Michael Peña; Samuel L. Jackson; Luis Guzmán; Bill Hader; Snoop Dogg; Maya Rudolph; Ben Schwartz; Richard Jenkins,10859; 13242; 454; 2231; 40481; 19278; 19767; 52792; 222121; 28633,2013,1.0,94075.0,94075
77951,Walking with Dinosaurs,2013-12-18,87.0,en,80000000.0,126500000.0,5.7442,6.188,534,Animation; Family; Adventure,AU; IN; GB; US,Animal Logic; Evergreen Films; Reliance Entertainment; IM Global; BBC Earth,8089; 8091; 7294; 7437; 8090,,,Neil Nightingale,Karl Urban; Charlie Rowe; Angourie Rice; Justin Long; John Leguizamo; Tiya Sircar; Skyler Stone; Clay Savage; Michael Leone; Katie Silverman,1372; 142389; 1265629; 15033; 5723; 109046; 203048; 190611; 2057839; 1009221,2013,1.0,561061.0,561061; 66191
77953,The Campaign,2012-08-09,85.0,en,95000000.0,104907746.0,4.7637,5.835,1920,Comedy,US,Location Gourmet; Gary Sanchez Productions; Everyman Pictures; Warner Bros. Pictures,36431; 4740; 2242; 174,,,Jay Roach,Will Ferrell; Zach Galifianakis; Jason Sudeikis; Katherine LaNasa; Dylan McDermott; Sarah Baker; John Lithgow; Dan Aykroyd; Brian Cox; Karen Maruyama,23659; 58225; 58224; 169337; 32597; 461542; 12074; 707; 1248; 157865,2012,1.0,6737.0,6737
77987,Only God Forgives,2013-05-30,89.0,en,4800000.0,10300000.0,4.5884,5.812,2626,Drama; Thriller; Crime,DK; FR; SE; US,Wild Bunch; Gaumont; Space Rocket Nation; Motel Movies; Bold Films; Film i Väst; DR; Nordisk Film,856; 9; 67574; 11337; 2266; 2801; 119; 143164,,,Nicolas Winding Refn,Ryan Gosling; Kristin Scott Thomas; Vithaya Pansringarm; Rhatha Phongam; Gordon Brown; Tom Burke; Byron Gibson; Sahajak Boonthanakit; Charlie Ruedpokanon; Wannisa Peungpa,30614; 5470; 1102621; 1206367; 1840; 52891; 971590; 521673; 1163445; 1268084,2013,1.0,21183.0,21183
78698,Big Miracle,2012-02-02,107.0,en,40000000.0,24719215.0,5.0001,6.696,534,Adventure; Drama; Romance; Fantasy,CA; GB; US,Working Title Films; Universal Pictures; Anonymous Content,10163; 33; 10039,,,Ken Kwapis,Drew Barrymore; John Krasinski; Kristen Bell; Vinessa Shaw; Dermot Mulroney; Ted Danson; Kathy Baker; Tim Blake Nelson; Stephen Root; John Michael Higgins,69597; 17697; 40462; 5025; 20212; 12836; 1907; 1462; 17401; 8265,2012,0.0,29009.0,29009
79224,War of the Arrows,2011-08-10,122.0,ko,8000000.0,49000000.0,5.1207,7.195,298,Drama; Action; History,KR; US,Lotte Entertainment; Dasepo Club; DCG Plus; Sovik Venture Capital,7819; 11430; 11431; 11432,,,Kim Han-min,Park Hae-il; Moon Chae-won; Kim Moo-yul; Ryu Seung-ryong; Park Ki-woong; Ryohei Otani; David Lee; Lee Han-wi; Park No-shik; Lee Kyung-young,21687; 1248204; 84788; 227638; 117505; 1255724; 557133; 96634; 1075838; 231476,2011,1.0,1049134.0,1049134
79548,Gone,2012-02-23,94.0,en,,18100189.0,4.7887,6.231,1269,Thriller; Mystery,US; AU,Sidney Kimmel Entertainment; Summit Entertainment; Lakeshore Entertainment,737; 491; 126,,,Heitor Dhalia,Amanda Seyfried; Daniel Sunjata; Sebastian Stan; Socratis Otto; Jennifer Carpenter; Wes Bentley; Kate Moennig; Nick Searcy; Emily Wickersham; Joel David Moore,71070; 10582; 60898; 75174; 53828; 8210; 122231; 12538; 204679; 59231,2012,,111094.0,111094
79553,The Front Line,2011-07-20,133.0,ko,10000000.0,15786086.0,4.2127,7.181,207,Drama; Action; War,KR,TPS Company; A-Po Films; Showbox,70681; 143933; 3491,,,Jang Hoon,Shin Ha-kyun; Go Soo; Lee Je-hoon; Ryu Seung-su; Ko Chang-seok; David Lee; Ryu Seung-ryong; Kim Ok-vin; Cho Jin-woong; Jung In-gi,25004; 85173; 531736; 1243892; 150697; 557133; 227638; 1059584; 138336; 240082,2011,1.0,148747.0,148747
80035,The Watch,2012-07-26,102.0,en,68000000.0,68267862.0,9.3186,5.603,2529,Comedy; Action; Science Fiction,US,21 Laps Entertainment,2575,,,Akiva Schaffer,Ben Stiller; Vince Vaughn; Jonah Hill; Richard Ayoade; Rosemarie DeWitt; Erinn Hayes; Erin Moriarty; Jill Jane Clements; Will Forte; Mel Rodriguez,7399; 4937; 21007; 98103; 14892; 1215797; 990393; 196843; 62831; 59675,2012,1.0,62854.0,62854
80274,Ender's Game,2013-10-24,114.0,en,110000000.0,125537191.0,13.5158,6.594,6389,Science Fiction; Action; Adventure,US,Digital Domain; Chartoff Productions; Taleswapper; K/O Paper Products; OddLot Entertainment,31825; 3200; 31826; 7296; 3263,,,Gavin Hood,Asa Butterfield; Hailee Steinfeld; Harrison Ford; Viola Davis; Ben Kingsley; Abigail Breslin; Aramis Knight; Moisés Arias; Nonso Anozie; Suraj Partha,77996; 130640; 3; 19492; 2282; 17140; 204191; 57412; 43547; 1266195,2013,1.0,13079.0,13079
80278,The Impossible,2012-09-09,113.0,en,45000000.0,198100000.0,16.757,7.376,6834,Drama; Thriller; History,ES; US,Apaches Films; Telecinco Cinema; La Trini; Canal+ España,8111; 2674; 53490; 9335,,,J. A. Bayona,Naomi Watts; Ewan McGregor; Tom Holland; Samuel Joslin; Oaklee Pendergast; Marta Etura; Sönke Möhring; Geraldine Chaplin; Ploy Jindachote; Jomjaoi Sae-Limh,3489; 3061; 1136406; 1304662; 1207881; 34019; 147446; 400; 1026231; 2242086,2012,1.0,51894.0,51894
80280,[REC]³ Genesis,2012-03-30,80.0,es,6400000.0,11019975.0,5.936,5.347,1666,Horror,ES,Filmax,3631,74508.0,[REC] Collection,Paco Plaza,Leticia Dolera; Diego Martín; Ismael Martínez; Àlex Monner; Borja González Santaolalla; Emilio Mencheta; David Ramírez; Miguel Ángel González; Ramon Agirre; Xavier Ruano,45060; 126771; 141018; 1031744; 2682372; 1031749; 1602305; 2248423; 122461; 1602310,2012,1.0,54526.0,54526
80321,Madagascar 3: Europe's Most Wanted,2012-06-06,93.0,en,145000000.0,746921274.0,17.239,6.647,6703,Animation; Family; Comedy; Adventure,US,DreamWorks Animation; Pacific Data Images,521; 520,14740.0,Madagascar Collection,Eric Darnell,Ben Stiller; Chris Rock; David Schwimmer; Jada Pinkett Smith; Frances McDormand; Sacha Baron Cohen; Andy Richter; Cedric the Entertainer; Jessica Chastain; Bryan Cranston,7399; 2632; 14409; 9575; 3910; 6730; 28637; 5726; 83002; 17419,2012,1.0,18863.0,18863; 18864; 12080
80389,Get the Gringo,2012-03-15,96.0,en,35000000.0,8826837.0,7.0103,6.61,1848,Action; Thriller; Crime; Drama,US; MX,Icon Productions; Redrum,152; 41921,,,Adrian Grünberg,Mel Gibson; Kevin Hernandez; Daniel Giménez Cacho; Peter Stormare; Jesús Ochoa; Roberto Sosa; Dolores Heredia; Mario Zaragoza; Peter Gerety; Bob Gunton,2461; 999329; 1603; 53; 69865; 61059; 224507; 942967; 1986; 4029,2012,0.0,589402.0,589402
80585,Rock of Ages,2012-06-13,123.0,en,75000000.0,59400000.0,6.583,6.2,1382,Comedy; Drama; Romance; Music,US,Offspring Entertainment; New Line Cinema; Corner Store Entertainment; Material Pictures; Maguire Entertainment,2378; 12; 8871; 12139; 2236,,,Adam Shankman,Julianne Hough; Diego Boneta; Alec Baldwin; Tom Cruise; Russell Brand; Malin Akerman; Paul Giamatti; Bryan Cranston; Catherine Zeta-Jones; Mary J. Blige,143240; 935201; 7447; 500; 59919; 50463; 13242; 17419; 1922; 84933,2012,0.0,20739.0,20739
81005,Jack the Giant Slayer,2013-02-27,114.0,en,195000000.0,197700000.0,11.4828,5.91,5341,Fantasy; Action; Adventure,US,New Line Cinema; Legendary Pictures; Original Film; Big Kid Pictures; Bad Hat Harry Productions; Warner Bros. Pictures,12; 923; 333; 8406; 9168; 174,,,Bryan Singer,Nicholas Hoult; Eleanor Tomlinson; Ewan McGregor; Stanley Tucci; Ian McShane; Bill Nighy; Eddie Marsan; Ewen Bremner; Warwick Davis; Ralph Brown,3292; 73357; 3061; 2283; 6972; 2440; 1665; 1125; 11184; 53916,2013,1.0,9032.0,9032
81025,Salmon Fishing in the Yemen,2012-03-09,107.0,en,14400000.0,34564651.0,6.9316,6.416,971,Drama; Romance; Comedy,GB; FR,BBC Film; Lionsgate UK; UK Film Council; Kudos; Davis Films,288; 175700; 2452; 3445; 342,,,Lasse Hallström,Ewan McGregor; Emily Blunt; Kristin Scott Thomas; Rachael Stirling; Amr Waked; Catherine Steadman; Tom Mison; Tom Beard; Jill Baker; Conleth Hill,3061; 5081; 5470; 18067; 2960; 443865; 75073; 123071; 37053; 84423,2012,1.0,5306.0,5306
81188,Rise of the Guardians,2012-11-21,97.0,en,145000000.0,306941670.0,13.5939,7.38,7265,Action; Adventure; Animation; Family; Fantasy,US,DreamWorks Animation,521,,,Peter Ramsey,Chris Pine; Alec Baldwin; Jude Law; Isla Fisher; Hugh Jackman; Dakota Goyo; Isabella Blake-Thomas; Jacob Bertrand; Khamani Griffin; Kamil McFadden,62064; 7447; 9642; 52848; 6968; 234479; 1132646; 114446; 87056; 1271684,2012,1.0,151007.0,151007
81481,Silenced,2011-09-22,125.0,ko,2200000.0,31500000.0,9.8084,8.2,808,Drama,KR,Sangeori Pictures; Fantagio; CJ Entertainment,12619; 12620; 7036,,,Hwang Dong-hyuk,Gong Yoo; Jung Yu-mi; Kim Hyeon-soo; Jung In-seo; Baek Su-ho; Jang Kwang; Kim Joo-ryoung; Kim Min-sang; Lim Hyun-sung; Jeon Kuk-hwan,150903; 127720; 913196; 929592; 145382; 1096793; 587677; 1294797; 1294798; 20264,2011,1.0,1294471.0,1294471
81796,Lockout,2012-04-12,95.0,en,20000000.0,32948113.0,7.7722,5.937,2043,Action; Thriller; Science Fiction,FR; US; RS,EuropaCorp,6896,,,Stephen St. Leger,Guy Pearce; Maggie Grace; Vincent Regan; Joseph Gilgun; Lennie James; Peter Stormare; Jacky Ido; Tim Plester; Mark Tankersley; Anne-Solenne Hatte,529; 11825; 9831; 225610; 1120; 53; 51636; 62972; 1464977; 1678406,2012,1.0,936154.0,936154; 1311595
81870,Flying Swords of Dragon Gate,2011-12-15,125.0,zh,35000000.0,127709.0,6.1562,6.254,250,Action; Adventure; Drama,CN; HK,Beijing Liangzi Group; Shineshow; Film Workshop; SMG Pictures; Bona Film Group; Distribution Workshop,8249; 8252; 3618; 20495; 30148; 76473,1405664.0,Dragon Inn Collection,Tsui Hark,Jet Li; Zhou Xun; Chen Kun; Gwei Lun-Mei; Chris Lee Yuchun; Louis Fan Siu-Wong; Mavis Fan; Du Yiheng; Zhang Xinyu; Sheng Chien,1336; 71057; 109809; 85962; 106578; 130598; 231722; 1174690; 1048435; 1436115,2011,0.0,26760.0,26760
82507,Sinister,2012-10-04,110.0,en,3000000.0,82515113.0,15.4765,6.872,6193,Horror; Thriller; Mystery,CA; US,Automatik Entertainment; Blumhouse Productions; Alliance Films; IM Global; Summit Entertainment,7625; 3172; 2514; 7437; 491,357173.0,Sinister Collection,Scott Derrickson,Ethan Hawke; Juliet Rylance; Vincent D'Onofrio; James Ransone; Fred Thompson; Clare Foley; Michael Hall D'Addario; Victoria Leigh; Blake Mizrahi; Cameron Ocasio,569; 928906; 7132; 5296; 17874; 928905; 928908; 928909; 1017265; 928907,2012,1.0,55499.0,55499
