tmdb_id,genre
47760,Drama
47760,Romance
47854,Drama
47854,Action
47854,History
47854,Thriller
47909,Drama
47931,Drama
47931,Action
47931,Crime
47933,Action
47933,Adventure
47933,Science Fiction
47964,Action
47964,Thriller
47971,Action
47971,Adventure
47971,Crime
48034,Comedy
48034,Drama
48138,Action
48138,Mystery
48138,Thriller
48171,Drama
48171,Thriller
48171,Horror
48231,Drama
48289,Drama
48289,Thriller
48303,Drama
48303,Romance
48340,Action
48340,Thriller
48414,Documentary
48414,Family
48414,Drama
48415,Comedy
48492,Action
48492,Adventure
48492,Drama
48492,Mystery
48572,Horror
48572,Action
48572,Thriller
48650,Drama
48650,Romance
48838,Drama
48838,Crime
48988,Comedy
48988,Romance
49009,Drama
49009,Adventure
49009,History
49010,Crime
49010,Action
49010,Thriller
49012,Comedy
49012,Romance
49013,Animation
49013,Family
49013,Adventure
49013,Comedy
49014,Drama
49017,Horror
49017,Action
49017,Fantasy
49018,Horror
49018,Thriller
49020,Drama
49020,Comedy
49020,Romance
49021,Action
49021,Adventure
49021,Thriller
49022,Comedy
49022,Drama
49022,Romance
49026,Action
49026,Crime
49026,Drama
49026,Thriller
49040,Action
49040,Thriller
49047,Science Fiction
49047,Thriller
49047,Drama
49049,Action
49049,Science Fiction
49051,Adventure
49051,Fantasy
49051,Action
49444,Animation
49444,Family
49444,Comedy
49444,Action
49494,Adventure
49494,Drama
49517,Drama
49517,Thriller
49517,Mystery
49519,Animation
49519,Adventure
49519,Family
49519,Comedy
49520,Comedy
49521,Action
49521,Adventure
49521,Science Fiction
49524,Fantasy
49524,Action
49524,Comedy
49526,Crime
49526,Action
49526,Thriller
49527,Action
49527,Thriller
49527,Crime
49529,Action
49529,Adventure
49529,Science Fiction
49530,Action
49530,Thriller
49530,Science Fiction
49538,Action
49538,Science Fiction
49538,Adventure
49730,Thriller
49730,Drama
49730,Fantasy
49730,Mystery
49730,Horror
49730,Romance
49797,Thriller
49797,Horror
49849,Action
49849,Science Fiction
49849,Thriller
49849,Western
49852,Adventure
49852,Fantasy
49852,Family
49950,Thriller
49950,Drama
49950,Horror
49953,Animation
49953,Family
50014,Drama
50204,Comedy
50204,Thriller
50204,History
50204,Horror
50321,Adventure
50321,Animation
50321,Family
50321,Science Fiction
50348,Crime
50348,Drama
50348,Thriller
50357,Horror
50357,Science Fiction
50357,Thriller
50359,Animation
50359,Comedy
50359,Family
50456,Action
50456,Thriller
50456,Adventure
50544,Romance
50544,Comedy
50546,Comedy
50546,Romance
50618,War
50618,Drama
50618,History
50618,Action
50619,Adventure
50619,Fantasy
50619,Romance
50620,Fantasy
